docid	allcopiesofwork	author	bestseller	contrast4reviewed	copiesin25yrs	earlyedition	firstpub	gender	heath	imprint	inferreddate	lastname	latestcomp	mostdiscussed	nationality	norton	nortonshort	preregistered	recordid	reviewed	title	inferrednation
mdp.39015045628396	1.0	Steel, Danielle	True	False	1.0	True			False	New York, N.Y.|Delacorte Press|c1998.	1998	Steel	1998	False		False	False	False	4009542.0	False	Mirror image	us
mdp.39015047449866	2.0	Steel, Danielle	True	False	2.0	True			False	New York|Delacorte Press|1999.	1999	Steel	1999	False		False	False	False	4061949.0	False	Irresistible forces	us
wu.89085145860	1.0	Eco, Umberto	True	False	1.0	True			False	London|Picador in association with Secker & Warburg|1984, c1983.	1984	Eco	1983	False		False	False	False	7965374.0	False	The name of the rose	guess: us
uc1.b4088024	1.0	Spyri, Johanna,	True	False	1.0	True	1880.0		False	New York;Platt & Peck;c1884	1884	Spyri	1880	False		False	False	False	6149878.0	False	Heidi, her years of wandering and learning;	guess: us
uc2.ark+=13960=t10p0wz08	3.0	Burroughs, Edgar Rice	False	True	2.0	True	1919.0	m	False	New York;Grosset & Dunlap;1920	1920	Burroughs	1919	False	us	False	False	False	7654229.0	False	Tarzan the untamed	us
mdp.39015030710860	2.0	Poole, Ernest	True	False	2.0	True	1915.0	m	False	New York|Grosset & Dunlap|1915	1915	Poole	1915	False	us	False	False	False	2442002.0	True	The harbor	us
uc1.$b243988		Powys, T. F	False	False			1927.0	m	False	London|Chatto and Windus|1928.	1928	Powys	1927	False	uk	False	False	False	6498483.0	True	Mr. Weston's Good Wine	uk
mdp.39015024021324		Lewis,Grace Hegger	False	False			1931.0	f	False	New York|H. Liveright, inc.|c1931	1931	Lewis,Grace	1931	False	us	False	False	False	246550.0	True	Half a Loaf	us
uc2.ark+=13960=t7br8n136	3.0	McCutcheon, George Barr	True	False	3.0	True	1904.0		False	New York;Dodd, Mead & Company;1904.	1904	McCutcheon	1904	False		False	False	False	7645990.0	False	Beverly of Graustark	us
uc1.$b106144	1.0	Weidman, Jerome	False	True	1.0	True	1943.0	m	False	New York|Simon and Schuster|1943.	1943	Weidman	1943	False	us	False	False	False	6603991.0	False	The lights around the shore.	us
mdp.39015000551153	2.0	O'Hara, John	True	False	1.0	True			False	New York|Random House|1949.	1949	O'Hara	1949	False		False	False	False	1021097.0	False	A rage to live	us
uc2.ark+=13960=t4th8cs4b		Bullard, Arthur	False	False			1913.0	m	False	New York;The Macmillan Company;1913.	1913	Bullard	1913	False	us	False	False	False	6084806.0	True	Comrade Yetta	us
mdp.39015054090355		Lewis, Sinclair,	True	False			1920.0		False	New York;P. F. Collier & Son Corp.;c1920	1920	Lewis	1920	False		False	False	False	628802.0	False	Main street	us
uc1.32106014299538	1.0	Kingston, Maxine Hong	False	False	1.0	True			False	New York|Knopf|Distributed by Random House|1989.	1989	Kingston	1989	False		True	False	False	1300275.0	False	Tripmaster monkey : his fake book	us
mdp.39076005055640	1.0	Stewart, Mary	True	False	1.0	True			False	New York|Mill and Morrow|1964.	1964	Stewart	1943	False		False	False	False	9904952.0	False	This rough magic	guess: us
njp.32101067707925	1.0	Benedict, Frank Lee	False	False	1.0	True	1870.0	m	False	New York;Harper & Brothers;1874.	1874	Benedict	1870	False	us	False	False	False	8964924.0	True	Miss Van Kortland	us
uva.x000467514	3.0	Dixon, Thomas	True	False	3.0	True			False	New York;Doubleday, Page & company;1906.	1906	Dixon	1906	False		False	False	False	9776093.0	False	The clansman;	us
uc1.b250115		Lever, Charles James	False	False			1868.0	m	False	London;Smith, Elder;1868.	1868	Lever	1868	False	ir	False	False	False	6502421.0	True	The Bramleighs of Bishop's Folly	uk
uc2.ark+=13960=t9k35p017	1.0	Cahan, Abraham	False	False	1.0	True			True	New York;Appleton;1896.	1896	Cahan	1896	False		False	False	False	7652927.0	False	Yekl;	us
mdp.39015043798936	1.0	King, Stephen	True	False	1.0	True			False	New York|Scribner|c1998.	1998	King	1998	False		False	False	False	3983215.0	False	Bag of bones	us
uiuo.ark+=13960=t7zk5ws9k		Montgomery, Florence	False	True			1879.0	f	False	Philadelphia;J.B. Lippincott;1879.	1879	Montgomery	1878	False	uk	False	False	False	7668050.0	False	Seaforth	uk
uc2.ark+=13960=t2h70dt42	3.0	Gibbon, Charles	False	True	3.0	True	1888.0	m	False	London;Sampson Low, Marston, Searle & Rivington;1888.	1888	Gibbon	1888	False	uk	False	False	False	7688203.0	False	Beyond compare	uk
coo.31924013476480	9.0	Haggard, H. Rider	True	False	1.0	True	1886.0		False	Leipzig;B. Tauchnitz;1886.	1886	Haggard	1886	False		False	False	False	11405491.0	False	King Solomon's mines	uk
mdp.39015048550019	4.0	Parker, Dorothy	False	False	4.0	True	1930.0	f	False	New York|Viking Press|1930.	1930	Parker	1930	False	us	False	False	False	1376312.0	True	Laments for the Living	us
uc2.ark+=13960=t9t15276t	3.0	MacDonald, George	False	False	3.0	True	1876.0	m	False	Toronto;Copp, Clark & co.;1876.	1876	MacDonald	1876	False	uk	False	False	False	630036.0	True	Thomas Wingfold, curate	uk
uc2.ark+=13960=t08w39n2k	1.0	MacGrath, Harold	True	False	1.0	True	1901.0		False	New York;Grosset and Dunlap;c1901.	1901	MacGrath	1901	False		False	False	False	7666328.0	False	The puppet crown	us
uc2.ark+=13960=t84j0ds6x	5.0	Locke, William John	True	False	5.0	True			False	New York;John Lane company;London;John Lane; [etc., etc.;1917.	1917	Locke	1917	False		False	False	False	538570.0	False	The red planet	uk
pst.000007426209	1.0	Holmes, Marjorie	True	False	1.0	True			False	New York|Bantam Books|1974, c1972.	1972	Holmes	1972	False		False	False	False	12268191.0	False	Two from Galilee	guess: us
uc2.ark+=13960=t9862fb3w	1.0	Ellis, Havelock	False	False	1.0	True	1907.0	m	False	London;Alston Rivers, Ltd.;1907.	1907	Ellis	1907	False	uk	False	False	False	6497674.0	True	Kit's woman; a Cornish idyll	uk
mdp.39015008295845	3.0	Greene, Graham	True	False	3.0	True			False	London|Sydney|Toronto|The Bodley Head|1973.	1973	Greene	1973	False		False	False	False	121782.0	False	The honorary consul	uk
uc1.$b162315	4.0	Benét, Stephen Vincent	True	False	3.0	True			False	Garden City, N.Y.|Doubleday, Doran and Co.|1928.	1928	Benét	1928	False		False	False	False	6639018.0	False	John Brown's body	us
mdp.39015059377617		Hichens, Robert,	True	False			1917.0		False	New York;Frederick A. Stokes company;c1917	1917	Hichens	1917	False		False	False	False	117001.0	False	In the wilderness;	uk
uiuo.ark+=13960=t6m04st95	30.0	Barrie, J. M	True	False	25.0	True	1891.0	m	False	London [etc.;Cassell & company, limited;1891.	1891	Barrie	1891	False	uk	False	False	False	1426168.0	True	The little minister	non
nyp.33433076055148	3.0	Poole, Ernest	True	False	3.0	True			False	New York;The Macmillan Company;1915.	1915	Poole	1915	False		False	False	False	8660106.0	False	The harbor	us
mdp.39015000636111	14.0	Lewis, Sinclair	True	False	10.0	True			False	New York|P. F. Collier|c1925.	1925	Lewis	1925	False		False	False	False	538061.0	False	Arrowsmith	us
mdp.39015010832841	1.0	Erdrich, Louise	False	False	1.0	True			True	Toronto|New York|Bantam Books|c1984.	1984	Erdrich	1984	False		False	False	False	355702.0	False	Love medicine : a novel	us
mdp.39015002235375		Hemingway, Ernest	False	False			1937.0	m	False	New York|Scribner|1937.	1937	Hemingway	1937	False	us	False	False	False	436969.0	True	To Have and Have Not	us
njp.32101063690844		Foote, Mary Hallock	False	False			1902.0	f	False	Boston;New York;Houghton, Mifflin and Company;1902.	1902	Foote	1902	False	us	False	False	False	7647490.0	True	The desert and the sown	guess: us
uc2.ark+=13960=t5m904803		Churchill, Winston,	True	False			1901.0	m	False		1901	Churchill	1901	False	us	False	False	False	663882.0	True	The crisis	us
